run_id,checkpoint,source,slice,n,accuracy,correct,tool_call_rate,unable_rate,follow_up_rate,direct_answer_rate,observed_behavior_counts,primary_error_counts,details_path
r004,sft_best,baseline,sft_dev_direct_answer,93,0.9354838709677419,87,0.0,0.053763440860215055,0.010752688172043012,0.9354838709677419,"{""direct_answer"": 87, ""follow_up"": 1, ""unable"": 5}","{""answer_completion_error"": 1, ""correct"": 87, ""wrong_refusal"": 5}",experiments/exp_02_stage1_target_sft_pilot/artifacts/runs/r004/stage1_candidate_eval_details.jsonl
r004,sft_best,baseline,bfcl_relevance_direct_answer,60,0.13333333333333333,8,0.05,0.7166666666666667,0.1,0.13333333333333333,"{""direct_answer"": 8, ""follow_up"": 6, ""tool_call"": 3, ""unable"": 43}","{""answer_completion_error"": 6, ""correct"": 8, ""irrelevant_tool_call"": 3, ""wrong_refusal"": 43}",experiments/exp_02_stage1_target_sft_pilot/artifacts/runs/r004/stage1_candidate_eval_details.jsonl
r004,sft_best,baseline,combined_existing_direct_answer,153,0.6209150326797386,95,0.0196078431372549,0.3137254901960784,0.0457516339869281,0.6209150326797386,"{""direct_answer"": 95, ""follow_up"": 7, ""tool_call"": 3, ""unable"": 48}","{""answer_completion_error"": 7, ""correct"": 95, ""irrelevant_tool_call"": 3, ""wrong_refusal"": 48}",experiments/exp_02_stage1_target_sft_pilot/artifacts/runs/r004/stage1_candidate_eval_details.jsonl
r028,step50,clean_noised_gold,sft_dev_direct_answer,93,0.9354838709677419,87,0.0,0.053763440860215055,0.010752688172043012,0.9354838709677419,"{""direct_answer"": 87, ""follow_up"": 1, ""unable"": 5}","{""answer_completion_error"": 1, ""correct"": 87, ""wrong_refusal"": 5}",experiments/exp_07_stage3d_high_confidence_clean_dpo_main/artifacts/runs/r028/stage1_primary_eval_details_checkpoint_step_0050.jsonl
r028,step50,clean_noised_gold,bfcl_relevance_direct_answer,60,0.1,6,0.08333333333333333,0.7166666666666667,0.1,0.1,"{""direct_answer"": 6, ""follow_up"": 6, ""tool_call"": 5, ""unable"": 43}","{""answer_completion_error"": 6, ""correct"": 6, ""irrelevant_tool_call"": 5, ""wrong_refusal"": 43}",experiments/exp_07_stage3d_high_confidence_clean_dpo_main/artifacts/runs/r028/stage1_primary_eval_details_checkpoint_step_0050.jsonl
r028,step50,clean_noised_gold,combined_existing_direct_answer,153,0.6078431372549019,93,0.032679738562091505,0.3137254901960784,0.0457516339869281,0.6078431372549019,"{""direct_answer"": 93, ""follow_up"": 7, ""tool_call"": 5, ""unable"": 48}","{""answer_completion_error"": 7, ""correct"": 93, ""irrelevant_tool_call"": 5, ""wrong_refusal"": 48}",experiments/exp_07_stage3d_high_confidence_clean_dpo_main/artifacts/runs/r028/stage1_primary_eval_details_checkpoint_step_0050.jsonl
r028,best,clean_noised_gold,sft_dev_direct_answer,93,0.978494623655914,91,0.0,0.010752688172043012,0.010752688172043012,0.978494623655914,"{""direct_answer"": 91, ""follow_up"": 1, ""unable"": 1}","{""answer_completion_error"": 1, ""correct"": 91, ""wrong_refusal"": 1}",experiments/exp_07_stage3d_high_confidence_clean_dpo_main/artifacts/runs/r028/stage1_primary_eval_details_dpo_best.jsonl
r028,best,clean_noised_gold,bfcl_relevance_direct_answer,60,0.03333333333333333,2,0.11666666666666667,0.7666666666666667,0.08333333333333333,0.03333333333333333,"{""direct_answer"": 2, ""follow_up"": 5, ""tool_call"": 7, ""unable"": 46}","{""answer_completion_error"": 5, ""correct"": 2, ""irrelevant_tool_call"": 7, ""wrong_refusal"": 46}",experiments/exp_07_stage3d_high_confidence_clean_dpo_main/artifacts/runs/r028/stage1_primary_eval_details_dpo_best.jsonl
r028,best,clean_noised_gold,combined_existing_direct_answer,153,0.6078431372549019,93,0.0457516339869281,0.30718954248366015,0.0392156862745098,0.6078431372549019,"{""direct_answer"": 93, ""follow_up"": 6, ""tool_call"": 7, ""unable"": 47}","{""answer_completion_error"": 6, ""correct"": 93, ""irrelevant_tool_call"": 7, ""wrong_refusal"": 47}",experiments/exp_07_stage3d_high_confidence_clean_dpo_main/artifacts/runs/r028/stage1_primary_eval_details_dpo_best.jsonl
r029,step50,clean_behavior,sft_dev_direct_answer,93,0.9354838709677419,87,0.0,0.043010752688172046,0.021505376344086023,0.9354838709677419,"{""direct_answer"": 87, ""follow_up"": 2, ""unable"": 4}","{""answer_completion_error"": 2, ""correct"": 87, ""wrong_refusal"": 4}",experiments/exp_07_stage3d_high_confidence_clean_dpo_main/artifacts/runs/r029/stage1_primary_eval_details_checkpoint_step_0050.jsonl
r029,step50,clean_behavior,bfcl_relevance_direct_answer,60,0.05,3,0.03333333333333333,0.7666666666666667,0.15,0.05,"{""direct_answer"": 3, ""follow_up"": 9, ""tool_call"": 2, ""unable"": 46}","{""answer_completion_error"": 9, ""correct"": 3, ""irrelevant_tool_call"": 2, ""wrong_refusal"": 46}",experiments/exp_07_stage3d_high_confidence_clean_dpo_main/artifacts/runs/r029/stage1_primary_eval_details_checkpoint_step_0050.jsonl
r029,step50,clean_behavior,combined_existing_direct_answer,153,0.5882352941176471,90,0.013071895424836602,0.32679738562091504,0.0718954248366013,0.5882352941176471,"{""direct_answer"": 90, ""follow_up"": 11, ""tool_call"": 2, ""unable"": 50}","{""answer_completion_error"": 11, ""correct"": 90, ""irrelevant_tool_call"": 2, ""wrong_refusal"": 50}",experiments/exp_07_stage3d_high_confidence_clean_dpo_main/artifacts/runs/r029/stage1_primary_eval_details_checkpoint_step_0050.jsonl
r029,best,clean_behavior,sft_dev_direct_answer,93,0.946236559139785,88,0.0,0.03225806451612903,0.021505376344086023,0.946236559139785,"{""direct_answer"": 88, ""follow_up"": 2, ""unable"": 3}","{""answer_completion_error"": 2, ""correct"": 88, ""wrong_refusal"": 3}",experiments/exp_07_stage3d_high_confidence_clean_dpo_main/artifacts/runs/r029/stage1_primary_eval_details_dpo_best.jsonl
r029,best,clean_behavior,bfcl_relevance_direct_answer,60,0.03333333333333333,2,0.03333333333333333,0.7833333333333333,0.15,0.03333333333333333,"{""direct_answer"": 2, ""follow_up"": 9, ""tool_call"": 2, ""unable"": 47}","{""answer_completion_error"": 9, ""correct"": 2, ""irrelevant_tool_call"": 2, ""wrong_refusal"": 47}",experiments/exp_07_stage3d_high_confidence_clean_dpo_main/artifacts/runs/r029/stage1_primary_eval_details_dpo_best.jsonl
r029,best,clean_behavior,combined_existing_direct_answer,153,0.5882352941176471,90,0.013071895424836602,0.32679738562091504,0.0718954248366013,0.5882352941176471,"{""direct_answer"": 90, ""follow_up"": 11, ""tool_call"": 2, ""unable"": 50}","{""answer_completion_error"": 11, ""correct"": 90, ""irrelevant_tool_call"": 2, ""wrong_refusal"": 50}",experiments/exp_07_stage3d_high_confidence_clean_dpo_main/artifacts/runs/r029/stage1_primary_eval_details_dpo_best.jsonl
s5r002,step50,mixed_clean,sft_dev_direct_answer,93,0.9354838709677419,87,0.0,0.043010752688172046,0.021505376344086023,0.9354838709677419,"{""direct_answer"": 87, ""follow_up"": 2, ""unable"": 4}","{""answer_completion_error"": 2, ""correct"": 87, ""wrong_refusal"": 4}",experiments/exp_10_stage5_mixed_source_dpo_extension/artifacts/runs/s5r002/stage1_primary_eval_details_checkpoint_step_0050.jsonl
s5r002,step50,mixed_clean,bfcl_relevance_direct_answer,60,0.08333333333333333,5,0.03333333333333333,0.7333333333333333,0.15,0.08333333333333333,"{""direct_answer"": 5, ""follow_up"": 9, ""tool_call"": 2, ""unable"": 44}","{""answer_completion_error"": 9, ""correct"": 5, ""irrelevant_tool_call"": 2, ""wrong_refusal"": 44}",experiments/exp_10_stage5_mixed_source_dpo_extension/artifacts/runs/s5r002/stage1_primary_eval_details_checkpoint_step_0050.jsonl
s5r002,step50,mixed_clean,combined_existing_direct_answer,153,0.6013071895424836,92,0.013071895424836602,0.3137254901960784,0.0718954248366013,0.6013071895424836,"{""direct_answer"": 92, ""follow_up"": 11, ""tool_call"": 2, ""unable"": 48}","{""answer_completion_error"": 11, ""correct"": 92, ""irrelevant_tool_call"": 2, ""wrong_refusal"": 48}",experiments/exp_10_stage5_mixed_source_dpo_extension/artifacts/runs/s5r002/stage1_primary_eval_details_checkpoint_step_0050.jsonl
s5r002,final,mixed_clean,sft_dev_direct_answer,93,0.956989247311828,89,0.0,0.03225806451612903,0.010752688172043012,0.956989247311828,"{""direct_answer"": 89, ""follow_up"": 1, ""unable"": 3}","{""answer_completion_error"": 1, ""correct"": 89, ""wrong_refusal"": 3}",experiments/exp_10_stage5_mixed_source_dpo_extension/artifacts/runs/s5r002/stage1_primary_eval_details_dpo_final.jsonl
